address,price,lat,lon,year
405 Commonwealth Ave #4,542000,42.348805,-71.090287,2014
133 Seaport Blvd #510,991800,42.350971,-71.043923,2021
133 Pearl St #1,875000,42.354931,-71.053871,2008
1320-1330 Boylston St,4e+06,42.344297,-71.098481,2002
471-473 Albany St,2550000,42.339656,-71.065048,2017
1341-1355 Boylston St,9900000,42.344249,-71.099324,2008
135 Seaport Blvd #1109,1695000,42.350971,-71.043923,2021
136 Beacon St #10,4e+06,42.354815,-71.075197,2020
136 Newbury St,7600000,42.35095,-71.077178,2022
136 W Canton St,3900000,42.343121,-71.075338,2022
137-139 Pearl St #M1,1175000,42.354903,-71.053844,2022
137 Peterborough St #19,595000,42.342964,-71.100443,2017
137 South St #2,685000,42.350928,-71.057429,2021
137 W Newton St,2410000,42.342337,-71.077549,2021
139 Warren Ave,1425000,42.344265,-71.074954,2012
14 Beacon St,25400000,42.358259,-71.062209,2017
14 Charles River Sq,1500000,42.359792,-71.071436,2013
14 Chestnut St,3900000,42.357601,-71.066855,2009
14 Gloucester St,4205000,42.350919,-71.085141,2015
14 Hereford St #1,825000,42.351148,-71.086705,2018
14 Hereford St #1,740000,42.351148,-71.086705,2013
14 Holyoke St,3500000,42.344783,-71.077945,2021
14 Lindall Pl,810000,42.361042,-71.0693,2009
14 Pinckney St,2550000,42.358779,-71.06563,2010
14 Rutland Sq,3700000,42.342427,-71.078887,2018
14 Walnut St,7900000,42.357908,-71.066022,2014
140 Mount Vernon St #4,1e+06,42.357419,-71.071997,2009
141 W Canton St,2150000,42.342154,-71.074431,2012
14-16 Derne St,3825000,42.359534,-71.063389,2021
142 Prince St,1470000,42.366675,-71.057656,2020
142 W Concord St,1625000,42.339725,-71.077354,2013
142 Commercial St #202,667000,42.36246,-71.052338,2019
1421-1431 Washington St,1e+07,42.340951,-71.070626,2019
143 Worcester St,2050000,42.341285,-71.079854,2013
144 Commonwealth Ave #4,5e+05,42.352201,-71.078174,2015
144 Warren Ave #2,4560000,42.344114,-71.075168,2020
144 W Canton St #1,3600000,42.343121,-71.075338,2022
145 Pinckney St #628,760000,42.358804,-71.072238,2022
145 Pinckney St #226,695000,42.358897,-71.07179,2015
145 Worcester St,2500000,42.34131,-71.079885,2020
146 Commonwealth Ave,1.2e+07,42.352187,-71.078231,2021
146 W Newton St,6300000,42.342136,-71.077352,2021
147-149 Charles St,8300000,42.360399,-71.070732,2021
147 Fulton St,1700000,42.362885,-71.05244,2009
148 Beacon St #2,3900000,42.354699,-71.075623,2008
148 State St,11180000,42.359358,-71.054262,2000
149 Beacon St #2,935000,42.354738,-71.074773,2015
149 Endicott St,2485000,42.365145,-71.057263,2017
149 W Newton St,2350000,42.342448,-71.077507,2019
149-151 Pearl St,4950000,42.354819,-71.053766,2019
500 Atlantic Ave #14A,889000,42.353734,-71.053491,2006
15-19 Bartlett Pl,1700000,42.364255,-71.056244,2019
15 Blackwood St #2,679900,42.342885,-71.08256,2014
15 Bond St,1735000,42.343587,-71.069051,2021
15 Commonwealth Ave,12500000,42.35358,-71.072956,2012
15 Gray St #2,836000,42.34585,-71.070777,2015
15 Joy St,2050000,42.358981,-71.064942,2009
15 Keswick St #3,509000,42.345864,-71.105797,2019
15 Park Dr #21,159000,42.344564,-71.094764,2003
15 River St #307,820000,42.356737,-71.070034,2017
15 River St #504,1e+06,42.356737,-71.070034,2019
15 Snow Hill St,1050000,42.366245,-71.056365,2014
15 Taylor St,1680000,42.344065,-71.068497,2015
776 Boylston St #E10D,4228959,42.348809,-71.081814,2008
13-15 Winter St,3200000,42.355922,-71.061191,2011
15 Park Dr #35,370000,42.34463,-71.094625,2021
15-15A Garden St #1,1,42.360798,-71.067017,2015
15-15A Garden St #3,1,42.360798,-71.067017,2015
15-15A Garden St #4,1,42.360798,-71.067017,2015
15-15A Garden St #5,1,42.360798,-71.067017,2015
150-152 Commercial St,3750000,42.362594,-71.052226,2021
154-156 Kneeland St,1200000,42.349869,-71.058127,2003
158-160 Kneeland St,6e+05,42.349838,-71.057983,2003
150 Chandler St #1,10000,42.346011,-71.07408,2001
150 Beacon St #2,4158895,42.354676,-71.075708,2009
45 Province St #1101,475000,42.356912,-71.060201,2012
151-153 Beacon St #6,1975000,42.354716,-71.074855,2008
151-153 Endicott St,1150000,42.365212,-71.057271,2007
151 Tremont St #10S,590000,42.355397,-71.063003,2016
152 Salem St,2860000,42.365765,-71.055258,2019
153 W Newton St,3180000,42.342558,-71.077616,2022
155-155A Salem St,3500000,42.365576,-71.055109,2015
155 W Brookline St,3475000,42.342149,-71.075366,2021
156 W Brookline St,1765000,42.343387,-71.076796,2012
155-157 W Springfield St,4700000,42.338849,-71.078594,2022
158-158A Salem St,2342500,42.365935,-71.055151,2012
158 Mount Vernon St,4500000,42.357419,-71.071997,2018
158-158A Salem St,1530000,42.365935,-71.055151,2008
158-158A Salem St,1875000,42.365935,-71.055151,2008
159 Saint Botolph St #1,40000,42.343562,-71.082432,2011
80 Broad St #309,6e+05,42.357598,-71.052925,2022
500 Atlantic Ave #15B,1425000,42.353653,-71.053436,2013
16 Bond St,2e+06,42.343496,-71.069348,2022
16 Clarendon St #16,1228125,42.344747,-71.072442,2015
14 Concord Sq #3,485000,42.340903,-71.078611,2012
14-16 E Springfield St,9e+05,42.33659,-71.075792,2010
16 Follen St,3805000,42.345022,-71.079966,2019
16 Hull St,1225000,42.366591,-71.05527,2009
16 Lawrence St,1500000,42.346263,-71.072037,2020
194 Salem St,4240000,42.366532,-71.054771,2016
16 Pinckney St,1512500,42.35878,-71.065724,2012
90 Saint Botolph St,5e+06,42.246694,-71.177759,2017
16 River St,4500000,42.356611,-71.070226,2014
16 River St,2500000,42.356611,-71.070226,2013
16-16A S Russell St,1320000,42.36079,-71.065853,2007
16 Shawmut St,550000,42.350233,-71.06804,2001
16-24 Union Park St,5425000,42.34201,-71.0703,2015
160 Commonwealth Ave #707,675000,42.351537,-71.078204,2018
160 Federal St #C24,2050000,42.354062,-71.056015,2018
160 Federal St #G30,2050000,42.354062,-71.056015,2018
160 Federal St #C1A,1.9e+08,42.354062,-71.056015,2017
160 Federal St #C1B,1.9e+08,42.354062,-71.056015,2017
